pair_id,source_attribute_id,target_attribute_id,source_label,target_label,source_category,target_category,source_subcategory,target_subcategory,embedding_similarity,lexical_similarity,evidence_support,retrieval_relation_hint,retrieval_status,candidate_source,step4_relation_hint,step4_score,pre_llm_pair_score,relation_type,merge_decision,direction,llm_confidence,rationale,final_merge_confidence,llm_provider,llm_model,edge_weight
pair_attr_personality_traits_don_t_act_li__attr_personality_traits_like_to_show__d06161dda3d9,attr_personality_traits__don_t_act_like_a_show_off__4a94d1671d,attr_personality_traits__like_to_show_off__fa88047899,Don't act like a show-off.,Like to show-off.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.7599,0.75,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7619,inverse_pole,keep_separate,symmetric,0.95,Opposite personality traits: not acting like a show-off vs liking to show off.,0.8389,openai,gpt-4.1-mini,0.817
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__60bbabd17fec,attr_life_context_and_constraints__hours_per_week_using_work_computer_hsehld_mngmn__2a60eaedef,attr_life_context_and_constraints__minutes_per_week_using_work_computer_email__36f2446b95,hours per week using work computer hsehld mngmn,minutes per week using work computer email,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8444,0.764,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,Hours and minutes per week using work computer for different purposes; related but distinct time units and contexts.,0.8439,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_3r__572dfe17b3c1,attr_life_context_and_constraints__1st_mention_what_nervous_breakdown_is_asserted__a31ea505b9,attr_life_context_and_constraints__3rd_mention_what_nervous_breakdown_is_imputed__57c4678f91,"1st mention, what nervous breakdown is, asserted","3rd mention, what nervous breakdown is, imputed",Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8089,0.8421,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,"First and third mentions of same concept, asserted vs imputed; related but distinct data points.",0.8449,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__402495294fc1,attr_domain_specific_overlays__number_of_janitor_r_is_acquainted_with__b128695456,attr_domain_specific_overlays__number_of_kevin_r_is_acquainted_with__4b3189b977,number of janitor r is acquainted with,number of kevin r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7985,0.8649,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,Number of acquaintances with different individuals; related but distinct.,0.8452,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_sp__e8d30cb96b9a,attr_life_context_and_constraints__hobby_club3_meets_in_this_area__e183f36e03,attr_life_context_and_constraints__sport_club3_meets_in_this_area__f5f9499768,hobby club3 meets in this area,sport club3 meets in this area,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7976,0.8667,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,Hobby club vs sport club meeting in area; related but distinct types of clubs.,0.8452,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_who_wo__attr_domain_specific_overlays_who_wo__e1080f8bb3f9,attr_domain_specific_overlays__who_would_r_have_voted_for_1980_election__ba58826b58,attr_domain_specific_overlays__who_would_r_have_voted_for_in_2012_election__286842a801,who would r have voted for-1980 election,who would r have voted for in 2012 election,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7973,0.8675,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,Voting preferences in different election years; related but distinct temporal contexts.,0.8453,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_worldview_beliefs_and_attitu_ho__c63d199ebf15,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups3__909a069379,attr_worldview_beliefs_and_attitu__how_many_years_r_born_a_member_of_church_group3__5e8b6fd264,how many years r born a member of youth groups3,how many years r born a member of church group3,Life Context & Constraints,"Worldview, Beliefs & Attitudes",life context and constraints,religiosity and spiritual beliefs,0.7758,0.9149,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7618,related_but_distinct,keep_separate,none,0.9,Years as member of youth groups vs church groups; related social memberships but distinct categories.,0.8459,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_fa__attr_life_context_and_constraints_re__a27d01183097,attr_life_context_and_constraints__father_s_census_occupation_code_1980__5eb71cb260,attr_life_context_and_constraints__respondent_s_census_occupation_code_1980__de2b7a9c1b,father's census occupation code (1980),respondent's census occupation code (1980),Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7257,0.825,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.8,0.7618,related_but_distinct,keep_separate,none,0.85,Father's vs respondent's census occupation codes; related but distinct individuals.,0.7949,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_no__attr_life_context_and_constraints_nu__02a6761ae642,attr_life_context_and_constraints__no_of_hours_partner_usually_works_a_week__827be40ccd,attr_life_context_and_constraints__number_of_hours_partner_worked_last_week__0b0f142e04,no. of hours partner usually works a week,number of hours partner worked last week,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8547,0.7407,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Partner's usual hours vs hours worked last week; related but distinct time frames.,0.8435,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__c8bd01559281,attr_demographics_and_population__image_of_god_as_friend__2347a4e132,attr_demographics_and_population__image_of_god_as_spouse__3d60d02bbe,image of god as friend,image of god as spouse,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8402,0.7727,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,inverse_pole,keep_separate,symmetric,0.95,Image of God as friend vs spouse are conceptually distinct and opposite relational roles.,0.8664,openai,gpt-4.1-mini,0.817
pair_attr_worldview_beliefs_and_attitu_in__attr_worldview_beliefs_and_attitu_wa__56f65cf8a032,attr_worldview_beliefs_and_attitu__indust_air_pollution_danger_to_my_family__a18b7183d4,attr_worldview_beliefs_and_attitu__water_pollution_danger_to_my_family__d17d4116e9,indust air pollution danger to my family,water pollution danger to my family,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8035,0.8533,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Perceived danger of industrial vs water pollution; related but distinct environmental concerns.,0.845,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__8b7a445505db,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_political_club3__003f39bb85,attr_life_context_and_constraints__how_many_years_r_been_a_member_of_service_club2__f761ad3eef,how many years r been a member of political club3,how many years r been a member of service club2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8032,0.8542,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Years as member of political vs service clubs; related but distinct club types.,0.845,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__f9c27da370ed,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_farm_organization3__b05ad390df,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_labor_union3__41df39ee68,how many years r born a member of farm organization3,how many years r born a member of labor union3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8018,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Years as member of farm organization vs labor union; related but distinct organizations.,0.845,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__6bdae64a89bc,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_fraternity_group2__6972419d51,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group3__5c1f55155a,how many years r born a member of fraternity group2,how many years r born a member of other group3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.7884,0.8866,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Years as member of fraternity vs other groups; related but distinct group types.,0.8455,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__4597fccd7927,attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_keith_r_is_acquainted_with__eb90bf925c,number of asian r is acquainted with,number of keith r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.7873,0.8889,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7617,related_but_distinct,keep_separate,none,0.9,Number of acquaintances with different individuals; related but distinct.,0.8455,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_tr__attr_life_context_and_constraints_tr__2ee4f79f52e5,attr_life_context_and_constraints__treatment_for_emotion_cure_condition__0636a5cee0,attr_life_context_and_constraints__treatment_for_emotion_improve_family_relations__49c2d43ef6,treatment for emotion cure condition,treatment for emotion improve family relations,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8586,0.7317,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,related_but_distinct,keep_separate,none,0.9,Treatment for emotional cure vs improving family relations; related but distinct treatment goals.,0.8433,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__7bfbb888cf57,attr_life_context_and_constraints__hours_per_week_using_work_computer_make_money__ecbe0c402a,attr_life_context_and_constraints__minutes_per_week_using_work_computer_personal_i__273fe29495,hours per week using work computer make money,minutes per week using work computer personal i,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8454,0.7609,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,related_but_distinct,keep_separate,none,0.9,Hours vs minutes per week using work computer for different purposes; related but distinct time units and contexts.,0.8437,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_po__attr_life_context_and_constraints_se__2eed16c3fbcd,attr_life_context_and_constraints__political_club2_meets_in_this_area__0b9a6686ae,attr_life_context_and_constraints__service_club2_meets_in_this_area__3a35ee38ae,political club2 meets in this area,service club2 meets in this area,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8194,0.8182,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,related_but_distinct,keep_separate,none,0.9,Political club vs service club meeting in area; related but distinct club types.,0.8445,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_rac__attr_demographics_and_population_sex__fb0de1d3754e,attr_demographics_and_population__race_of_murder_victim_closest_to_r__b43512e170,attr_demographics_and_population__sex_of_murder_victim_2nd_closest_to_r__a72ecf19ed,race of murder victim closest to r,sex of murder victim 2nd closest to r,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7944,0.8732,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,related_but_distinct,keep_separate,none,0.9,Race vs sex of murder victims; related demographic variables but distinct constructs.,0.8452,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__5b66286166e3,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group2__55abb81b15,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group3__fe3127f41a,how many years r born a member of informal group2,how many years r born a member of national group3,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.783,0.898,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,related_but_distinct,keep_separate,none,0.9,Years as member of informal vs national groups; related but distinct group types.,0.8455,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_fam__attr_demographics_and_population_fam__3ecbf0f62e6c,attr_demographics_and_population__familiarity_operations_management__2d51754b0f,attr_demographics_and_population__familiarity_project_management__22f7fc786e,Familiarity: Operations management,Familiarity: Project management,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.7769,0.8308,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7616,related_but_distinct,keep_separate,none,0.9,Familiarity with different management domains; related but distinct knowledge areas.,0.8138,openai,gpt-4.1-mini,0.522
pair_attr_personality_traits_initiative_f__attr_personality_traits_take_the_ini__09efd20706ba,attr_personality_traits__initiative__f3fd4c1642,attr_personality_traits__take_the_initiative__8b22af00d5,Initiative,Take the initiative.,Personality Traits,Personality Traits,ipip personality scales,ipip personality items,0.7367,1.0,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7616,narrower_than,keep_separate,B_to_A,0.9,Item 'Take the initiative' is a specific indicator of broader 'Initiative' construct.,0.847,openai,gpt-4.1-mini,0.702
pair_attr_domain_specific_overlays_music__attr_domain_specific_overlays_music__143242cec613,attr_domain_specific_overlays__music_electronic__80cc0e70d1,attr_domain_specific_overlays__music_r_and_b__111d79973e,Music: Electronic,Music: R&B,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.6999,1.0,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7616,related_but_distinct,keep_separate,none,0.85,Taste for different music genres; related domain but distinct preferences.,0.7936,openai,gpt-4.1-mini,0.493
pair_attr_worldview_beliefs_and_attitu_ca__attr_worldview_beliefs_and_attitu_re__9d6749ac839b,attr_worldview_beliefs_and_attitu__cause_of_religious_change1__a6d040f4a3,attr_worldview_beliefs_and_attitu__religious_change_experience1__3a86fe58de,cause of religious change1,religious change experience1,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.9048,0.6296,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,related_but_distinct,keep_separate,none,0.9,Cause of religious change vs religious change experience; related but distinct constructs.,0.8418,openai,gpt-4.1-mini,0.522
pair_attr_personality_traits_feel_comfort__attr_personality_traits_feel_comfort__707a25250a31,attr_personality_traits__feel_comfortable_around_people__54f19a94dc,attr_personality_traits__feel_comfortable_with_myself__d440aa7ff8,Feel comfortable around people.,Feel comfortable with myself.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8728,0.7,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,related_but_distinct,keep_separate,none,0.9,Feeling comfortable around people vs with oneself; related but distinct aspects of comfort.,0.8428,openai,gpt-4.1-mini,0.522
pair_attr_social_identity_relationship_nu__attr_social_identity_relationship_nu__e112af5f5119,attr_social_identity_relationship__number_of_liberal_in_family_member__30e7eea419,attr_social_identity_relationship__number_of_liberal_in_neighborhood__433f5b8c8b,number of liberal in family member,number of liberal in neighborhood,"Social Identity, Relationships & Community","Social Identity, Relationships & Community",social identity relationships and community,social identity relationships and community,0.8655,0.7164,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,related_but_distinct,keep_separate,none,0.9,Number of liberals in family vs neighborhood; related but distinct social contexts.,0.843,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__eb7fab1751c5,attr_worldview_beliefs_and_attitu__r_sought_political_information_daily_newspaper__a290a2d16e,attr_worldview_beliefs_and_attitu__r_sought_political_information_past_2_years__cfe322040f,r sought political information daily newspaper,r sought political information past 2 years,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",worldview beliefs and attitudes,worldview beliefs and attitudes,0.8291,0.7865,0.7257,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,related_but_distinct,keep_separate,none,0.9,Political information seeking via daily newspaper vs past 2 years; related but distinct time frames.,0.8443,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ti__attr_life_context_and_constraints_ti__92f246faf1d6,attr_life_context_and_constraints__time_r_would_spend_on_friends__d6d41134bc,attr_life_context_and_constraints__time_r_would_spend_on_paid_work__76d12c8a3f,time r would spend on friends,time r would spend on paid work,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8275,0.8,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,inverse_pole,keep_separate,symmetric,0.95,Time spent on friends vs paid work are conceptually opposite time allocations.,0.8667,openai,gpt-4.1-mini,0.817
pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__851a340160b2,attr_life_context_and_constraints__r_belongs_to_more_than_one_service_clubs__02836f7336,attr_life_context_and_constraints__r_belongs_to_more_than_one_sports_groups__bca75bafac,r belongs to more than one service clubs,r belongs to more than one sports groups,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8274,0.8,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7615,related_but_distinct,keep_separate,none,0.9,Belonging to multiple service clubs vs sports groups; related but distinct group types.,0.8442,openai,gpt-4.1-mini,0.522
pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__73d0509a1470,attr_worldview_beliefs_and_attitu__number_of_regular_church_attendee_in_current_or_previo__fd61928f45,attr_worldview_beliefs_and_attitu__number_of_regular_church_attendee_in_neighborhood__c9498a4a80,number of regular church attendee in current or previous work,number of regular church attendee in neighborhood,"Worldview, Beliefs & Attitudes","Worldview, Beliefs & Attitudes",religiosity and spiritual beliefs,religiosity and spiritual beliefs,0.8438,0.7636,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7614,related_but_distinct,keep_separate,none,0.9,Number of regular church attendees in work vs neighborhood; related but distinct contexts.,0.8436,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_pe__attr_life_context_and_constraints_pe__fe6c8b677fc7,attr_life_context_and_constraints__people_like_x_shouldn_t_be_allowed_to_hold_public_offi__480cbe846d,attr_life_context_and_constraints__people_like_x_shouldn_t_be_allowed_to_teach_children__b5c694e776,people like x shouldn't be allowed to hold public office,people like x shouldn't be allowed to teach children.,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8406,0.7706,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7614,related_but_distinct,keep_separate,none,0.9,Attitudes about people like x holding public office vs teaching children; related but distinct contexts.,0.8437,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__e33d03a449c9,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_other_group5__7e4989744e,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_school_service_group__61e7f73268,how many years r born a member of other group5,how many years r born a member of school service group2,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8038,0.8515,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7614,related_but_distinct,keep_separate,none,0.9,Years as member of other group5 vs school service group2; related but distinct groups.,0.8448,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__32bc2cd56ffb,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_youth_groups5__e8e056a764,how many years r born a member of informal group4,how many years r born a member of youth groups5,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8027,0.8542,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7614,related_but_distinct,keep_separate,none,0.9,Years as member of informal group4 vs youth groups5; related but distinct groups.,0.8449,openai,gpt-4.1-mini,0.522
pair_attr_cognitive_and_capability_pro_fa__attr_cognitive_and_capability_pro_fa__bee2024708f4,attr_cognitive_and_capability_pro__familiarity_aerospace_engineering__9a13d0a4d1,attr_cognitive_and_capability_pro__familiarity_electrical_engineering__343f94608f,Familiarity: Aerospace engineering,Familiarity: Electrical engineering,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.7984,0.7826,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7614,related_but_distinct,keep_separate,none,0.9,Familiarity with different engineering disciplines; related but distinct knowledge areas.,0.813,openai,gpt-4.1-mini,0.522
pair_attr_cognitive_and_capability_pro_pr__attr_cognitive_and_capability_pro_pr__aae229021668,attr_cognitive_and_capability_pro__programming_bash__46ad73dd9e,attr_cognitive_and_capability_pro__programming_f__28ab3bed00,Programming: Bash,Programming: F#,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.6941,1.0,0.5308,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_broader_narrower,1.0,0.7614,related_but_distinct,keep_separate,none,0.85,Proficiency in different programming languages; related but distinct skills.,0.7938,openai,gpt-4.1-mini,0.493
pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__02cff87920e1,attr_life_context_and_constraints__x_s_situation_caused_by_stress__a56d9153ee,attr_life_context_and_constraints__x_s_situation_caused_by_the_way_raised__a4dc20afe5,x s situation caused by: stress,x s situation caused by: the way raised,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.84,0.7714,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7613,related_but_distinct,keep_separate,none,0.9,Different causes of situation; related but distinct causal factors.,0.8437,openai,gpt-4.1-mini,0.522
pair_attr_life_context_and_constraints_pe__attr_life_context_and_constraints_pe__28d09d019ffe,attr_life_context_and_constraints__person_1_is_r_s_advisor__a1bdf0289b,attr_life_context_and_constraints__person_1_is_r_s_sibling__6c4a74e5cf,person #1 is r's advisor,person #1 is r's sibling,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.8259,0.75,0.7973,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7613,related_but_distinct,keep_separate,none,0.9,Person #1 as advisor vs sibling; related but distinct relationships.,0.845,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_wom__attr_worldview_beliefs_and_attitu_wo__c4731dc86216,attr_demographics_and_population__woman_and_doctor_or_govt_should_decide_what_info_neede__6779ef6135,attr_worldview_beliefs_and_attitu__woman_and_doctor_or_govt_should_decide_what_info_neede__125f26fa7f,woman and doctor or govt should decide what info needed for childbirth - ver y,woman and doctor or govt should decide what info needed for abortion - ver x,Demographics & Population Grounding,"Worldview, Beliefs & Attitudes",demographic variables,worldview beliefs and attitudes,0.7774,0.9091,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7613,related_but_distinct,keep_separate,none,0.9,Attitudes about info needed for childbirth vs abortion; related but distinct issues.,0.8455,openai,gpt-4.1-mini,0.522
pair_attr_cognitive_and_capability_pro_fa__attr_cognitive_and_capability_pro_fa__2d246ad7434e,attr_cognitive_and_capability_pro__familiarity_chemical_engineering__b5e16fe4c9,attr_cognitive_and_capability_pro__familiarity_nuclear_engineering__194c1666e5,Familiarity: Chemical engineering,Familiarity: Nuclear engineering,Cognitive & Capability Profile,Cognitive & Capability Profile,cognitive and capability profile,cognitive and capability profile,0.7764,0.8308,0.5108,embedding_candidate,needs_llm_adjudication,embedding_retrieval+step4_heuristic,possible_related_or_correlated,0.75,0.7613,related_but_distinct,keep_separate,none,0.9,Familiarity with different engineering disciplines; related but distinct.,0.8136,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_charac__attr_personality_traits_hope_optimis__842692416789,attr_domain_specific_overlays__character_hope_optimism__c01baa64cb,attr_personality_traits__hope_optimism__f03a62296b,Character: Hope / optimism,Hope/Optimism,Domain-Specific Overlays,Personality Traits,uncategorized candidate,ipip personality scales,0.7588,1.0,0.6263,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7613,narrower_than,keep_separate,A_to_B,0.9,Character hope/optimism attribute is related but narrower than IPIP Hope/Optimism scale.,0.8453,openai,gpt-4.1-mini,0.702
pair_attr_personality_traits_am_easily_an__attr_personality_traits_am_easily_fr__8901e6ab6852,attr_personality_traits__am_easily_annoyed__042ce6cc61,attr_personality_traits__am_easily_frustrated__c893a74186,Am easily annoyed.,Am easily frustrated.,Personality Traits,Personality Traits,ipip personality items,ipip personality items,0.8642,0.7179,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7612,related_but_distinct,keep_separate,none,0.9,Easily annoyed vs easily frustrated; related but distinct emotional responses.,0.8429,openai,gpt-4.1-mini,0.522
pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__d22e66d92cc7,attr_demographics_and_population__image_of_god_as_friend__2347a4e132,attr_demographics_and_population__image_of_god_as_master__5d5b339845,image of god as friend,image of god as master,Demographics & Population Grounding,Demographics & Population Grounding,demographic variables,demographic variables,0.8393,0.7727,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7612,inverse_pole,keep_separate,symmetric,0.95,Image of God as friend vs master are conceptually distinct and opposite relational roles.,0.8661,openai,gpt-4.1-mini,0.817
pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__c56c2fe3cba0,attr_life_context_and_constraints__how_many_hours_spent_in_education__8cdc17ebf1,attr_life_context_and_constraints__how_many_hours_spent_in_international__b6e5bcefc0,how many hours spent in education,how many hours spent in international,Life Context & Constraints,Life Context & Constraints,life context and constraints,life context and constraints,0.801,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7612,related_but_distinct,keep_separate,none,0.9,Hours spent in education vs international; related but distinct activities.,0.8448,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__3c9ea386e625,attr_domain_specific_overlays__number_of_daughter_deaths__55076421e0,attr_domain_specific_overlays__number_of_partner_deaths__be0e2e9b49,number of daughter deaths,number of partner deaths,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.8009,0.8571,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7612,related_but_distinct,keep_separate,none,0.9,Number of deaths of different family members; related but distinct constructs.,0.8448,openai,gpt-4.1-mini,0.522
pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__36420c3817a3,attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_rachel_r_is_acquainted_with__d12efb19cd,number of asian r is acquainted with,number of rachel r is acquainted with,Domain-Specific Overlays,Domain-Specific Overlays,uncategorized candidate,uncategorized candidate,0.792,0.8767,0.7094,embedding_candidate,needs_llm_adjudication,embedding_retrieval,,,0.7612,related_but_distinct,keep_separate,none,0.9,Number of acquaintances with different individuals; related but distinct.,0.845,openai,gpt-4.1-mini,0.522
