source_final_attribute_id,target_final_attribute_id,source_label,target_label,relation_type,edge_weight,max_llm_confidence,supporting_pair_count,supporting_pair_ids_json
attr_life_context_and_constraints__what_x_should_do_go_to_counselor__37fd85e2da,attr_life_context_and_constraints__what_x_should_do_go_to_spiritual_healer__564af100de,what x should do: go to counselor,what x should do: go to spiritual healer,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wh__attr_life_context_and_constraints_wh__f17bb1bc7b81""]"
attr_worldview_beliefs_and_attitu__r_sought_political_information_political_campaign__05362c7478,attr_worldview_beliefs_and_attitu__r_sought_political_information_tv_or_radio__10d7aa929d,r sought political information political campaign,r sought political information tv or radio,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__0d879a336388""]"
attr_life_context_and_constraints__r_belongs_to_more_than_one_hobby_clubs__789ea0119f,attr_life_context_and_constraints__r_belongs_to_more_than_one_other_groups__4a1020df7c,r belongs to more than one hobby clubs,r belongs to more than one other groups,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__7eb7a6632169""]"
attr_worldview_beliefs_and_attitu__membership_in_political_club__dd591bebe3,attr_worldview_beliefs_and_attitu__membership_in_sports_club__b7c7dbbaf4,membership in political club,membership in sports club,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_me__attr_worldview_beliefs_and_attitu_me__64ad7e881679""]"
attr_demographics_and_population__no_one_benefit_from_traditional_family__73b8cd9104,attr_demographics_and_population__women_benefit_from_traditional_family__e27065ad04,no one benefit from traditional family,women benefit from traditional family,inverse_pole,0.817,0.95,1,"[""pair_attr_demographics_and_population_no__attr_demographics_and_population_wom__c5d047fc66a6""]"
attr_demographics_and_population__gender_of_1st_person__ef8775aa26,attr_demographics_and_population__gender_of_5th_person__c878cff227,gender of 1st person,gender of 5th person,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_gen__attr_demographics_and_population_gen__3a2eac2dcdb4""]"
attr_domain_specific_overlays__would_r_have_child_be_on_medication_by_fam_advice__045d7a54c4,attr_domain_specific_overlays__would_r_have_child_on_med_by_counselor_s_advice__9a9284f409,would r have child be on medication by fam advice,would r have child on med by counselor's advice,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_would__attr_domain_specific_overlays_would__892c3681aebd""]"
attr_life_context_and_constraints__1st_mention_what_nervous_breakdown_is_symptoms__cb5e00dde2,attr_life_context_and_constraints__2nd_mention_what_nervous_breakdown_is_asserted__2bc6be6077,"1st mention, what nervous breakdown is, symptoms","2nd mention, what nervous breakdown is, asserted",related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_1s__attr_life_context_and_constraints_2n__225b8d939393""]"
attr_life_context_and_constraints__currently_work_for_military_or_dod__93a6bdeb31,attr_life_context_and_constraints__currently_work_for_military_supplier__3277dce9ab,currently work for military or dod?,currently work for military supplier?,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_cu__attr_life_context_and_constraints_cu__949f96775b7f""]"
attr_life_context_and_constraints__how_often_visit_mother__d91b2f0ad1,attr_life_context_and_constraints__how_often_visit_sister__6c6c69909d,how often visit mother,how often visit sister,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__3ae4c52568ec""]"
attr_life_context_and_constraints__govt_responsibility_provide_disability_benefits_for_x__346211c65f,attr_life_context_and_constraints__govt_responsibility_provide_housing_for_x__32dd80b482,govt responsibility: provide disability benefits for x,govt responsibility: provide housing for x,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_go__attr_life_context_and_constraints_go__32a3e6b0e0a7""]"
attr_personality_traits__often_have_disorganized_thoughts__f5143e7179,attr_personality_traits__often_have_illogical_thoughts__e5676776bd,Often have disorganized thoughts.,Often have illogical thoughts.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_often_have_d__attr_personality_traits_often_have_i__9de01d349efa""]"
attr_life_context_and_constraints__contact_with_mother__360e0f8ce2,attr_life_context_and_constraints__contact_with_son__e535472d9f,contact with mother,contact with son,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_co__attr_life_context_and_constraints_co__2dced242c02d""]"
attr_demographics_and_population__how_close_do_you_feel_to_your_state__f7882b56b7,attr_demographics_and_population__how_close_do_you_feel_to_your_town_or_city__1a93319458,how close do you feel to your state,how close do you feel to your town or city,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_how__attr_demographics_and_population_how__3c0fb661950e""]"
attr_social_identity_relationship__respondent_s_relationship_to_closest_aids_victim__0361d9dd0f,attr_social_identity_relationship__respondent_s_relationship_to_closest_suicide__7832a76ab0,respondent's relationship to closest aids victim,respondent's relationship to closest suicide,related_but_distinct,0.493,0.85,1,"[""pair_attr_social_identity_relationship_re__attr_social_identity_relationship_re__66c8f7765e99""]"
attr_demographics_and_population__image_of_god_as_healer__0b506d272f,attr_demographics_and_population__image_of_god_as_master__5d5b339845,image of god as healer,image of god as master,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__2065f8fa59c6""]"
attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_jose_r_is_acquainted_with__30baff4203,number of asian r is acquainted with,number of jose r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__b79564501ec2""]"
attr_life_context_and_constraints__attention_condition__483411ff73,merged_attr_9ac14db5fc9d,Attention condition,condition of health,related_but_distinct,0.406,0.7,1,"[""pair_attr_life_context_and_constraints_at__attr_life_context_and_constraints_co__2956419a8a87""]"
attr_worldview_beliefs_and_attitu__r_sought_political_information_daily_newspaper__a290a2d16e,attr_worldview_beliefs_and_attitu__r_sought_political_information_tv_or_radio__10d7aa929d,r sought political information daily newspaper,r sought political information tv or radio,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__ed7f316bfde0""]"
attr_demographics_and_population__no_one_hurt_from_traditional_family__3928eecdac,attr_demographics_and_population__women_hurt_from_traditional_family__ce842d531d,no one hurt from traditional family,women hurt from traditional family,inverse_pole,0.817,0.95,1,"[""pair_attr_demographics_and_population_no__attr_demographics_and_population_wom__97d939a5a70e""]"
merged_attr_1e3a3c094e86,attr_worldview_beliefs_and_attitu__would_seek_advice_for_information_on_candidate__435fc5a3d4,would go to candidate site for information on c,would seek advice for information on candidate,related_but_distinct,0.522,0.9,2,"[""pair_attr_worldview_beliefs_and_attitu_wo__attr_worldview_beliefs_and_attitu_wo__807d2a712750"", ""pair_attr_worldview_beliefs_and_attitu_wo__attr_worldview_beliefs_and_attitu_wo__ea6c057533c7""]"
attr_life_context_and_constraints__available_for_work_unedited_see_employment_status_reco__13dddd807d,attr_life_context_and_constraints__informed_of_recall_unedited_see_employment_status_reco__aee0a1e755,Available for work (UNEDITED - See 'Employment Status Recode' (ESR)),Informed of recall (UNEDITED - See 'Employment Status Recode' (ESR)),related_but_distinct,0.464,0.8,1,"[""pair_attr_life_context_and_constraints_av__attr_life_context_and_constraints_in__045b5bd11529""]"
merged_attr_52d0bf1ec610,attr_life_context_and_constraints__how_much_ought_worker_in_own_occupation_make__e663d9a900,how much ought unskilled worker make?,how much ought worker in own occupation make,related_but_distinct,0.493,0.85,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__2a02851f14b6""]"
attr_worldview_beliefs_and_attitu__use_web_to_learn_about_a_book_or_poem__6d9d201e71,attr_worldview_beliefs_and_attitu__use_web_to_learn_about_literature__c9514895be,use web to learn about a book or poem,use web to learn about literature,narrower_than,0.702,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_us__attr_worldview_beliefs_and_attitu_us__cc9891837617""]"
merged_attr_5f375ebddc0b,attr_life_context_and_constraints__r_belongs_to_more_than_one_service_clubs__02836f7336,how many r belongs to service clubs,r belongs to more than one service clubs,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_r__171a808df369""]"
attr_worldview_beliefs_and_attitu__children_attend_christian_school__c67169d6ca,attr_worldview_beliefs_and_attitu__children_attend_private_secular_school__4bfc66ee32,children attend christian school,children attend private secular school,inverse_pole,0.817,0.95,1,"[""pair_attr_worldview_beliefs_and_attitu_ch__attr_worldview_beliefs_and_attitu_ch__be58c318868d""]"
merged_attr_1e3a3c094e86,attr_worldview_beliefs_and_attitu__would_use_search_engine_for_information_on_candidate__2491867e03,would go to candidate site for information on c,would use search engine for information on candidate,related_but_distinct,0.522,0.9,2,"[""pair_attr_worldview_beliefs_and_attitu_wo__attr_worldview_beliefs_and_attitu_wo__583d428eb857"", ""pair_attr_worldview_beliefs_and_attitu_wo__attr_worldview_beliefs_and_attitu_wo__d79ff13900b5""]"
attr_cognitive_and_capability_pro__how_often_r_uses_internet_for_communication__3d7557ba16,attr_cognitive_and_capability_pro__how_often_r_uses_internet_for_video_games__d90b6dbcb0,how often r uses internet for communication,how often r uses internet for video games,related_but_distinct,0.522,0.9,1,"[""pair_attr_cognitive_and_capability_pro_ho__attr_cognitive_and_capability_pro_ho__df82f9d6d872""]"
attr_life_context_and_constraints__asians_discriminated_in_housing__787eac70d7,attr_life_context_and_constraints__blacks_discriminated_in_housing__48ccfe3479,asians discriminated in housing,blacks discriminated in housing,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_as__attr_life_context_and_constraints_bl__64bac92901f1""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group4__9ecf93d07f,merged_attr_cade75bf3f2c,how many years r born a member of informal group4,how many years r born a member of sports groups1,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__28ab9f3839fa""]"
attr_personality_traits__often_feel_blue__6002b1ee2d,attr_personality_traits__seldom_feel_blue__6a2d3e4714,Often feel blue.,Seldom feel blue.,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_often_feel_b__attr_personality_traits_seldom_feel__0a3c02e158ea""]"
attr_worldview_beliefs_and_attitu__r_trust_radio_or_tv_for_pollution_information__5d9a632976,attr_worldview_beliefs_and_attitu__r_trust_universities_for_pollution_information__311cab5669,r trust radio or tv for pollution information,r trust universities for pollution information,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__fdd0600de78e""]"
attr_life_context_and_constraints__r_see_oneself_as_someone_who_gets_nervous_easily__a0b7718a9c,attr_life_context_and_constraints__r_see_oneself_as_someone_who_is_reserved__815c7c4136,r see oneself as someone who gets nervous easily,r see oneself as someone who is reserved,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__2026a2ea7e7e""]"
attr_demographics_and_population__other_languages_at_home_selected_choice_chinese_mandar__b7c2599230,attr_demographics_and_population__other_languages_at_home_selected_choice_german__606719b8a4,"Other languages at home - Selected Choice - Chinese (Mandarin, Cantonese, Hunanese, etc.)",Other languages at home - Selected Choice - German,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_oth__attr_demographics_and_population_oth__f3fa8b5ffa5c""]"
attr_demographics_and_population__image_of_god_as_creator__14dd36d358,attr_demographics_and_population__image_of_god_as_healer__0b506d272f,image of god as creator,image of god as healer,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__52fa165d4dd4""]"
attr_demographics_and_population__image_of_god_as_father__039efe0c6a,attr_demographics_and_population__image_of_god_as_judge__f917726baa,image of god as father,image of god as judge,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__4c9afdde9830""]"
attr_worldview_beliefs_and_attitu__r_active_in_fraternal_group__cbe6e76c8f,attr_worldview_beliefs_and_attitu__r_active_in_school_fraternity__4e14bb210b,r active in fraternal group,r active in school fraternity,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__c02418afff38""]"
attr_worldview_beliefs_and_attitu__r_can_ask_other_family_members_software_help__1becaea408,attr_worldview_beliefs_and_attitu__r_can_ask_spouse_or_partner_for_software_help__f94dac049d,r can ask other family members software help,r can ask spouse or partner for software help,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__91fbb9293098""]"
attr_life_context_and_constraints__how_many_r_belongs_to_farm_organizations__3d97a62ec0,attr_life_context_and_constraints__r_belongs_to_more_than_one_farm_organizations__45f3287dfd,how many r belongs to farm organizations,r belongs to more than one farm organizations,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_r__c231fb3f8e6f""]"
attr_life_context_and_constraints__done_volunteer_work_in_informal_alone__1f0aa06d22,attr_life_context_and_constraints__done_volunteer_work_in_work_related_org__dcd3b2b17d,done volunteer work in informal-alone,done volunteer work in work-related org,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__cd1a92c4838a""]"
merged_attr_180c311f28b0,attr_life_context_and_constraints__r_belongs_to_more_than_one_political_clubs__4e1fe7b1f6,how many r belongs to literary groups,r belongs to more than one political clubs,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__54ebbdc38131""]"
attr_life_context_and_constraints__x_s_situation_caused_by_brain_disease__365241de1f,merged_attr_cd3b2841ae56,x s situation caused by: brain disease,x s situation caused by: stress,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__d9f16091bc0b""]"
attr_demographics_and_population__men_hurt_from_traditional_family__dd3d42fcc8,attr_demographics_and_population__no_one_hurt_from_traditional_family__3928eecdac,men hurt from traditional family,no one hurt from traditional family,inverse_pole,0.817,0.95,1,"[""pair_attr_demographics_and_population_men__attr_demographics_and_population_no__98ddf34c7923""]"
merged_attr_23cc8a1ddfce,merged_attr_c0136e81098d,you train employees in other ways,you train employees safe use equipment,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_yo__attr_life_context_and_constraints_yo__70afca489a77""]"
attr_worldview_beliefs_and_attitu__number_of_regular_church_attendee_in_neighborhood__c9498a4a80,attr_worldview_beliefs_and_attitu__number_of_regular_church_attendee_r_is_acquainted_with__aaead74652,number of regular church attendee in neighborhood,number of regular church attendee r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__34a3a1afffc2""]"
attr_worldview_beliefs_and_attitu__in_last_month_listen_oldies_music_on_web__2aa27e4100,attr_worldview_beliefs_and_attitu__in_last_month_listen_rap_music_on_web__54d8d42d5b,in last month listen oldies music on web,in last month listen rap music on web,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_in__attr_worldview_beliefs_and_attitu_in__804ea30a22b2""]"
attr_personality_traits__have_leadership_abilities__8de8171132,attr_personality_traits__leadership__16f9220fda,Have leadership abilities.,Leadership,narrower_than,0.663,0.85,1,"[""pair_attr_personality_traits_have_leaders__attr_personality_traits_leadership_1__07bd571a230b""]"
attr_worldview_beliefs_and_attitu__r_sought_political_information_daily_newspaper__a290a2d16e,attr_worldview_beliefs_and_attitu__r_sought_political_information_political_campaign__05362c7478,r sought political information daily newspaper,r sought political information political campaign,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__76d4315e0d97""]"
attr_life_context_and_constraints__x_s_situation_caused_by_bad_character__f4b57ece19,merged_attr_f06d5f539566,x s situation caused by: bad character,x s situation caused by: the way raised,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_x__attr_life_context_and_constraints_x__0e572ed9dc5d""]"
attr_worldview_beliefs_and_attitu__number_of_janitor_r_trust__3913cba9b2,attr_worldview_beliefs_and_attitu__number_of_white_r_trust__dafc4b8fca,number of janitor r trust,number of white r trust,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_nu__attr_worldview_beliefs_and_attitu_nu__47be1fbf0c87""]"
attr_demographics_and_population__percentage_jews_living_in_r_s_community__93e8d063dd,attr_demographics_and_population__percentage_white_living_in_r_s_community__c8973dad1b,percentage jews living in r's community,percentage white living in r's community,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_per__attr_demographics_and_population_per__38a9b3d4d22b""]"
attr_demographics_and_population__image_of_god_as_creator__14dd36d358,attr_demographics_and_population__image_of_god_as_judge__f917726baa,image of god as creator,image of god as judge,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_ima__attr_demographics_and_population_ima__a204d07cb1fd""]"
attr_domain_specific_overlays__number_of_democrat_r_is_acquainted_with__2e3936b74b,attr_domain_specific_overlays__number_of_strong_liberal_r_is_acquainted_with__bd556f7c2d,number of democrat r is acquainted with,number of strong liberal r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__ca7e2ef78e0a""]"
attr_life_context_and_constraints__how_often_visit_doctor__66b919e0b0,attr_life_context_and_constraints__how_often_visit_son__87168f9e23,how often visit doctor,how often visit son,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__42faf16b1d27""]"
attr_life_context_and_constraints__r_belongs_to_more_than_one_farm_organizations__45f3287dfd,attr_life_context_and_constraints__r_belongs_to_more_than_one_labor_unions__b3381f5302,r belongs to more than one farm organizations,r belongs to more than one labor unions,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__7366de647950""]"
attr_worldview_beliefs_and_attitu__r_can_ask_other_student_software_help__2b2bec0a65,attr_worldview_beliefs_and_attitu__r_can_ask_spouse_or_partner_for_software_help__f94dac049d,r can ask other student software help,r can ask spouse or partner for software help,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__d842530f43a1""]"
attr_cognitive_and_capability_pro__familiarity_chemical_engineering__b5e16fe4c9,attr_cognitive_and_capability_pro__familiarity_sales_engineering__0d1c9856c6,Familiarity: Chemical engineering,Familiarity: Sales engineering,related_but_distinct,0.493,0.85,1,"[""pair_attr_cognitive_and_capability_pro_fa__attr_cognitive_and_capability_pro_fa__85b14cf4e6f3""]"
attr_life_context_and_constraints__employment_status_recode__6881260a69,attr_life_context_and_constraints__informed_of_recall_unedited_see_employment_status_reco__aee0a1e755,Employment status recode,Informed of recall (UNEDITED - See 'Employment Status Recode' (ESR)),related_but_distinct,0.406,0.7,1,"[""pair_attr_life_context_and_constraints_em__attr_life_context_and_constraints_in__896dc6cd5e3d""]"
attr_personality_traits__non_perseverance__794d5eed7b,merged_attr_5ad4d3e70865,Non-Perseverance,Perseverance,inverse_pole,0.817,0.95,1,"[""pair_attr_personality_traits_non_persever__attr_personality_traits_perseverance__85fe4654a3d0""]"
attr_life_context_and_constraints__r_seek_treat_doing_less_than_desired_physic__0e094cb04b,attr_life_context_and_constraints__r_seek_treat_working_less_carefully__4dd11d7ab1,r seek treat doing less than desired physic,r seek treat working less carefully,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__7575c7686a59""]"
merged_attr_a9ff230247c6,merged_attr_98aac55ad9c3,Like to help others.,Like to please others.,related_but_distinct,0.522,0.9,2,"[""pair_attr_personality_traits_like_to_help__attr_personality_traits_like_to_plea__4f717a6a566b"", ""pair_attr_personality_traits_like_to_do_t__attr_personality_traits_like_to_plea__824eb10b813e""]"
attr_life_context_and_constraints__closeness_to_person_with_mental_health_problem__16a0e8ec8c,attr_life_context_and_constraints__mental_health__ba1a9c3cb4,closeness to person with mental health problem,Mental health,broader_than,0.663,0.85,1,"[""pair_attr_life_context_and_constraints_cl__attr_life_context_and_constraints_me__e6fcfe628bd8""]"
attr_life_context_and_constraints__done_volunteer_work_in_human_services__62710670ac,attr_life_context_and_constraints__done_volunteer_work_in_work_related_org__dcd3b2b17d,done volunteer work in human services,done volunteer work in work-related org,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_do__attr_life_context_and_constraints_do__81420bdf4616""]"
attr_life_context_and_constraints__will_take_medicine_because_cant_cope_w_stress__6e4206ebd7,attr_life_context_and_constraints__will_take_medicine_because_feeling_depressed__fa5262ac08,will take medicine because cant cope w stress,will take medicine because feeling depressed,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_wi__attr_life_context_and_constraints_wi__49daf3301718""]"
merged_attr_1d3bf90b11cd,attr_life_context_and_constraints__minutes_per_week_using_work_computer_hsehld_mng__073cb1ce72,hours per week using work computer job,minutes per week using work computer hsehld mng,broader_than,0.741,0.95,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__3d551704118b"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__dd72afdd8cce""]"
attr_worldview_beliefs_and_attitu__how_much_money_contributed_in_political_org_etc__9aac98def3,attr_worldview_beliefs_and_attitu__how_much_money_contributed_in_religious_org__b1e3ea5faa,how much money contributed in political org. etc,how much money contributed in religious org,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_ho__attr_worldview_beliefs_and_attitu_ho__d26af22eafc2""]"
attr_personality_traits__have_noticed_that_different_letters_of_the_alphabet_ha__97e40efb5f,attr_personality_traits__have_noticed_that_different_odors_have_different_color__9c9473f5f3,Have noticed that different letters of the alphabet have different colors.,Have noticed that different odors have different colors.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_have_noticed__attr_personality_traits_have_noticed__f4b1f31826db""]"
attr_personality_traits__tend_to_dislike_impulsive_people__39866472f2,attr_personality_traits__tend_to_dislike_secretive_people__865422ae7b,Tend to dislike impulsive people.,Tend to dislike secretive people.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_tend_to_disl__attr_personality_traits_tend_to_disl__415027cb140f""]"
attr_domain_specific_overlays__number_of_mother_deaths__ca9a0bc669,attr_domain_specific_overlays__number_of_sister_deaths__5dbcf6846d,number of mother deaths,number of sister deaths,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__19f4108d823b""]"
attr_domain_specific_overlays__number_of_other_deaths__6b5d542afd,attr_domain_specific_overlays__number_of_sister_deaths__5dbcf6846d,number of other deaths,number of sister deaths,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__2309712d265e""]"
attr_behavioral_patterns_and_pref__interest_gardening__94f924341d,attr_personality_traits__gardening_interest_in__96cfd1dd34,Interest: Gardening,"Gardening, Interest in",related_but_distinct,0.493,0.85,1,"[""pair_attr_behavioral_patterns_and_pref_in__attr_personality_traits_gardening_in__7d26a9d30071""]"
attr_personality_traits__often_feel_tired__afffb32f2a,merged_attr_827123cb2245,Often feel tired.,Get too tired to do anything.,narrower_than,0.702,0.9,1,"[""pair_attr_personality_traits_often_feel_t__attr_personality_traits_often_feel_t__e8ab59b50c10""]"
merged_attr_1d3bf90b11cd,attr_life_context_and_constraints__minutes_per_week_using_work_computer_email__36f2446b95,hours per week using work computer job,minutes per week using work computer email,broader_than,0.741,0.95,2,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__cb7a265c3d74"", ""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_mi__32127b18ad23""]"
merged_attr_13484cecf0cb,attr_worldview_beliefs_and_attitu__r_sought_political_information_tv_or_radio__10d7aa929d,r sought political information political magazine,r sought political information tv or radio,related_but_distinct,0.522,0.9,1,"[""pair_attr_worldview_beliefs_and_attitu_r__attr_worldview_beliefs_and_attitu_r__ab48569018cb""]"
attr_domain_specific_overlays__number_of_asian_r_is_acquainted_with__c32733b747,attr_domain_specific_overlays__number_of_republican_r_is_acquainted_with__530acaf03a,number of asian r is acquainted with,number of republican r is acquainted with,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_number__attr_domain_specific_overlays_number__185a08a72c0e""]"
attr_social_identity_relationship__number_of_black_family_member__97de3fcca9,attr_social_identity_relationship__number_of_gay_family_member__77373e6bd2,number of black family member,number of gay family member,related_but_distinct,0.522,0.9,1,"[""pair_attr_social_identity_relationship_nu__attr_social_identity_relationship_nu__a3e76cea7a89""]"
attr_cognitive_and_capability_pro__programming_cobol__1b363bfe5e,attr_cognitive_and_capability_pro__programming_f__28ab3bed00,Programming: COBOL,Programming: F#,related_but_distinct,0.493,0.85,1,"[""pair_attr_cognitive_and_capability_pro_pr__attr_cognitive_and_capability_pro_pr__e9fb49f2bbfc""]"
attr_life_context_and_constraints__people_are_treated_with_respect__6e48a642d9,attr_life_context_and_constraints__r_treated_with_respect_at_work__6daf85a3ae,people are treated with respect,r treated with respect at work,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_pe__attr_life_context_and_constraints_r__2183e1cff52c""]"
attr_domain_specific_overlays__would_r_have_child_be_on_med_by_hospital_staff__cbf1d9e4f1,attr_domain_specific_overlays__would_r_have_child_on_med_by_counselor_s_advice__9a9284f409,would r have child be on med by hospital staff,would r have child on med by counselor's advice,related_but_distinct,0.522,0.9,1,"[""pair_attr_domain_specific_overlays_would__attr_domain_specific_overlays_would__d28f44a28832""]"
attr_life_context_and_constraints__r_see_oneself_as_someone_who_gets_nervous_easily__a0b7718a9c,attr_life_context_and_constraints__r_see_oneself_as_someone_who_tends_to_be_lazy__4c2a3abf89,r see oneself as someone who gets nervous easily,r see oneself as someone who tends to be lazy,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_r__attr_life_context_and_constraints_r__b1465028f835""]"
attr_life_context_and_constraints__govt_responsibility_provide_disability_benefits_for_x__346211c65f,attr_life_context_and_constraints__govt_responsibility_provide_job_for_x__0697d3c38a,govt responsibility: provide disability benefits for x,govt responsibility: provide job for x,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_go__attr_life_context_and_constraints_go__7fcd4a5a5c3e""]"
attr_personality_traits__find_it_difficult_to_approach_others__b10603266a,attr_personality_traits__find_it_difficult_to_manipulate_others__0af0e7d7c2,Find it difficult to approach others.,Find it difficult to manipulate others.,related_but_distinct,0.522,0.9,1,"[""pair_attr_personality_traits_find_it_diff__attr_personality_traits_find_it_diff__ec9ad7d3ce52""]"
attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__2fea550983,attr_demographics_and_population__choose_one_or_more_races_that_you_consider_yourself_to__a56d09fdce,Choose one or more races that you consider yourself to be - Other,Choose one or more races that you consider yourself to be - American Indian/Native American or Alaska Native,related_but_distinct,0.522,0.9,1,"[""pair_attr_demographics_and_population_cho__attr_demographics_and_population_cho__fd18ef2f2be1""]"
attr_life_context_and_constraints__how_many_years_r_born_a_member_of_informal_group5__e221d118be,attr_life_context_and_constraints__how_many_years_r_born_a_member_of_national_group1__4aef6e4d2c,how many years r born a member of informal group5,how many years r born a member of national group1,related_but_distinct,0.522,0.9,1,"[""pair_attr_life_context_and_constraints_ho__attr_life_context_and_constraints_ho__1fcdaa97ea5f""]"
