node_id,node_type,label,category,subcategory,size,node_weight,evidence_weight,weight_basis,quality_tier,source_count
attr_life_context_and_constraints__working_mom_can_have_a_warm_rel_w_kids__8e855666fb,attribute,working mom can have a warm rel w kids,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__workplace_runs_in_smooth_manner__cca66d7b5a,attribute,workplace runs in smooth manner,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__worry_about_economic_burden_of_terminal_illness__461c93a326,attribute,worry about economic burden of terminal illness,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__worry_about_emotional_burden_on_my_family__764a6dd908,attribute,worry about emotional burden on my family,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__worry_if_no_money_get_second_class_care__c572a90a06,attribute,worry if no money get second class care,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_like_to_have_a_job_now_or_in_the_future__5763170bfa,attribute,would like to have a job now or in the future,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_r_like_a_job_now__d2d97405ff,attribute,would r like a job now,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_r_rather_work_for_a_company_with_an_esop_or_cash__3b9ad5eb59,attribute,would r rather work for a company with an esop or cash sharing,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_take_any_job_to_keep_working_for_this_org__219224d457,attribute,would take any job to keep working for this org.,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_x_intentionally_neglect_own_health__7dd7598652,attribute,would x intentionally neglect own health,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_you_remain_in_unsatisfying_job_for_family__9c25921beb,attribute,would you remain in unsatisfying job for family,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__would_you_sacrifice_job_opportunities_for_family__a8884ffe5c,attribute,would you sacrifice job opportunities for family,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__wrong_for_woman_to_get_abortion_if_low_income__c1731e38ff,attribute,wrong for woman to get abortion if low income?,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_family_should_be_ashamed_to_receive_govt_assistance__1639fcfa1f,attribute,x family should be ashamed to receive govt assistance,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_is_experiencing_alchl_dependencedepression_schizophr__edd995b05f,attribute,x is experiencing alchl dependencedepression schizophrenia,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_is_experiencing_mental_illness__4550fc8c8f,attribute,x is experiencing mental illness,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_is_experiencing_normal_ups_and_downs_of_life__b630ffe333,attribute,x is experiencing normal ups-and-downs of life,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_is_experiencing_physical_illness__8bbd1fc9c8,attribute,x is experiencing physical illness,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_family_better_off_if_kept_secret__5ce2ecab17,attribute,x s family better off if kept secret,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_opportunities_limited_if_people_know_his_her_treat__94796660c8,attribute,x s opportunities limited if people know his her treatment,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_bad_character__f4b57ece19,attribute,x s situation caused by: bad character,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_bad_luck__dd376056c0,attribute,x s situation caused by: bad luck,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_brain_disease__365241de1f,attribute,x s situation caused by: brain disease,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_genetic_problem__fa883ed529,attribute,x s situation caused by: genetic problem,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_god_s_will__aee1cd86ab,attribute,x s situation caused by: god s will,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_stress__a56d9153ee,attribute,x s situation caused by: stress,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_s_situation_caused_by_the_way_raised__a4dc20afe5,attribute,x s situation caused by: the way raised,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__a37e1e9806,attribute,x should be admitted to be hospitalized for treatment by law,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__450c911304,attribute,x should be admitted to be hospitalized for treatment if dangerous to others,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_admitted_to_be_hospitalized_for_treatment__9b8c94e13c,attribute,x should be admitted to be hospitalized for treatment if dangerous to x,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_ashamed_to_receive_govt_assistance__f2b494ef6d,attribute,x should be ashamed to receive govt assistance,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_forced_to_be_examined_at_a_clinic_by_law__20b6ab85e6,attribute,x should be forced to be examined at a clinic by law,Life Context & Constraints,life context and constraints,2,1.557,0.7419,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_forced_to_be_hospitalized_for_treatment_by__27208d72b7,attribute,x should be forced to be hospitalized for treatment by law,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_forced_to_go_to_mental_hospital_by_law__31d012a6dc,attribute,x should be forced to go to mental hospital by law,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_forced_to_take_prescribed_medication_by_la__77717e3840,attribute,x should be forced to take prescribed medication by law,Life Context & Constraints,life context and constraints,2,1.557,0.7419,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_be_hired_like_others__ab4fe781a1,attribute,x should be hired like others,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_check_into_a_mental_hospital__b178e586f7,attribute,x should check into a mental hospital,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_feel_afraid_to_tell_about_his_situation__ab6e7045b8,attribute,x should feel afraid to tell about his situation,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_feel_embarrassed__2c4b59ee77,attribute,x should feel embarrassed,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_go_to_general_medical_doctor_for_help__543c3169a3,attribute,x should go to general medical doctor for help,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_go_to_other_mental_health_professional_for_he__e0430ae32b,attribute,x should go to other mental health professional for help,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_go_to_psychiatrist_for_help__96bd62c67c,attribute,x should go to psychiatrist for help,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_go_to_spiritual_healer_for_help__95b4f4290d,attribute,x should go to spiritual healer for help,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_join_a_self_group_with_similar_problem__954f5a47de,attribute,x should join a self-group with similar problem,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_should_talk_to_family_and_friends__469ac59ed2,attribute,x should talk to family and friends,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__x_would_lose_friends_if_people_know_his_her_treatment__5efa991d6d,attribute,x would lose friends if people know his her treatment,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__year_last_paid_job_ended__325de3abd3,attribute,year last paid job ended,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_r_has_known_the_named1__066814f4af,attribute,years r has known the named1,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_r_has_known_the_named2__2d24f13b4f,attribute,years r has known the named2,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_r_has_known_the_named3__6be118ec22,attribute,years r has known the named3,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_r_has_known_the_named4__3f4446c702,attribute,years r has known the named4,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_r_has_known_the_named5__61e487743d,attribute,years r has known the named5,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_worked_for_your_present_employer__fd848b5987,attribute,years worked for your present employer,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__years_worked_full_time_at_other_parts_of_org__1d26d69957,attribute,years worked full time at other parts of org,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_check_progress_or_attendance_not_supervise__1f3182e560,attribute,"you check progress or attendance, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_check_workers_progress_attendance__0bebf5bb3a,attribute,"you check workers' progress, attendance",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_devise_new_ways_of_doing_tasks__a8e9e43aa8,attribute,you devise new ways of doing tasks,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_devise_new_ways_of_doing_tasks_not_supervise__f72382fef1,attribute,"you devise new ways of doing tasks, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_evaluate_job_performance__5ad8f97b65,attribute,you evaluate job performance,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_evaluate_job_performance_not_supervise__43de006b81,attribute,"you evaluate job performance, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_have_base_of_operations__f37533c3db,attribute,you have base of operations,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_or_anyone_you_know_seen_a_psychiatrist__1cff8a4348,attribute,you or anyone you know seen a psychiatrist,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_organize_schedules_or_tasks__7896d04791,attribute,you organize schedules or tasks,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_organize_schedules_or_tasks_not_supervise__3352bee369,attribute,"you organize schedules or tasks, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_promote_or_discipline_actions_not_supervise__bccac488ae,attribute,"you promote or discipline actions, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_take_promotions_or_disciplinary_actions__9efccb12ce,attribute,you take promotions or disciplinary actions,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_train_employees_in_other_ways__a2d80bc6cb,attribute,you train employees in other ways,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_train_employees_in_other_ways_not_supervise__aec050e852,attribute,"you train employees in other ways, not supervise",Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_train_employees_safe_use_equip_not_supervise__161aeff30c,attribute,you train employees safe use equip. not supervise,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__you_train_employees_safe_use_equipment__b77e268df9,attribute,you train employees safe use equipment,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__youth_group1_meets_in_this_area__f325cc656c,attribute,youth group1 meets in this area,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__youth_group2_meets_in_this_area__32f01a0451,attribute,youth group2 meets in this area,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__youth_group3_meets_in_this_area__8903aa9df4,attribute,youth group3 meets in this area,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__youth_group4_meets_in_this_area__36199121a3,attribute,youth group4 meets in this area,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__youth_group5_meets_in_this_area__347c98a740,attribute,youth group5 meets in this area,Life Context & Constraints,life context and constraints,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__migration_puma_based_on_2020_census_definition__7f04c96215,attribute,Migration PUMA based on 2020 Census definition,Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__migration_recode_state_or_foreign_country_code__9d274ad46f,attribute,Migration recode - State or foreign country code,Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__military_service__143fdf4599,attribute,Military service,Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__mobility_status_lived_here_1_year_ago__97c49a79bc,attribute,Mobility status (lived here 1 year ago),Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__place_of_work_state_or_foreign_country_recode__ac0876ac04,attribute,Place of work - State or foreign country recode,Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__place_of_work_puma_based_on_2020_census_definition__4bdfd17199,attribute,Place of work PUMA based on 2020 Census definition,Life Context & Constraints,migration military and place of work,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__all_other_income_past_12_months_use_adjinc_to_adjust_t__fe9838cdd0,attribute,All other income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__income_to_poverty_ratio_recode__29800fa37d,attribute,Income-to-poverty ratio recode,Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__public_assistance_income_past_12_months_use_adjinc_to__fe297feec8,attribute,Public assistance income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__retirement_income_past_12_months_use_adjinc_to_adjust__1fca0ceb6f,attribute,Retirement income past 12 months (use ADJINC to adjust to constant dollars),Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__social_security_income_past_12_months_use_adjinc_to_ad__7bbef6ef48,attribute,Social Security income past 12 months (use ADJINC to adjust SSP to constant dollars),Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__supplementary_security_income_past_12_months_use_adjin__6f38a2180d,attribute,Supplementary Security Income past 12 months (use ADJINC to adjust SSIP to constant dollars),Life Context & Constraints,poverty public assistance and retirement income,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__cellular_data_plan_for_a_smartphone_or_other_mobile_de__eac8c7e23d,attribute,Cellular data plan for a smartphone or other mobile device,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__dial_up_service__ed53e5b1c7,attribute,Dial-up service,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__laptop_or_desktop__ad6bad9995,attribute,Laptop or desktop,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__other_computer_equipment__3d94ee2018,attribute,Other computer equipment,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__satellite_internet_service__26d0c2d0aa,attribute,Satellite Internet service,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__smartphone__fc7bd5dc31,attribute,Smartphone,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__tablet_or_other_portable_wireless_computer__5850cd3c24,attribute,Tablet or other portable wireless computer,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_life_context_and_constraints__telephone_service__156a28b789,attribute,Telephone service,Life Context & Constraints,technology and communication access,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__defining_turning_point__75ece16a5b,attribute,Defining turning point,Narrative Identity & Life History,narrative identity and life history,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__formative_decade__6476b5041f,attribute,Formative decade,Narrative Identity & Life History,narrative identity and life history,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__3d9e4b77d5,attribute,percent of people who shopped at the supermarket during childhood who were asian,Narrative Identity & Life History,narrative identity and life history,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__fb8aaad2ce,attribute,percent of people who shopped at the supermarket during childhood who were black,Narrative Identity & Life History,narrative identity and life history,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__f14635a675,attribute,percent of people who shopped at the supermarket during childhood who were latin,Narrative Identity & Life History,narrative identity and life history,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__2e31058e42,attribute,percent of people who shopped at the supermarket during childhood who were some,Narrative Identity & Life History,narrative identity and life history,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__percent_of_people_who_shopped_at_the_supermarket_durin__45e73d5ef4,attribute,percent of people who shopped at the supermarket during childhood who were white,Narrative Identity & Life History,narrative identity and life history,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_narrative_identity_and_life__persona__03547539b1,attribute,Persona,Narrative Identity & Life History,persona narrative summary,2,1.2128,0.5779,quality tier * source support * candidate support,B,2
attr_narrative_identity_and_life__can_you_describe_a_time_when_you_faced_setbacks_and_ho__b30fc45d1f,attribute,Can you describe a time when you faced setbacks and how you overcame them?,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__has_your_sense_of_identity_changed_significantly_over__ca53a81a71,attribute,"Has your sense of identity changed significantly over time? If yes, how?",Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__have_you_ever_felt_that_people_s_assumptions_about_you__7d0b235c9d,attribute,Have you ever felt that people’s assumptions about you didn’t match who you are? If so how?,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__how_do_you_think_about_your_political_beliefs_civic_pa__57e117b3a1,attribute,"How do you think about your political beliefs, civic participation, or involvement in your community?",Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__now_let_s_talk_about_your_current_neighborhood_tell_me__0face35743,attribute,Now let’s talk about your current neighborhood. Tell me all about the neighborhood and area in which you are living now.,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__some_people_tell_us_that_they_ve_reached_a_crossroads__448c8e752d,attribute,"Some people tell us that they’ve reached a crossroads at some points in their life where multiple paths were available, and their choice then made a significant difference in defining who they are.",Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__tell_me_about_people_and_relations_in_your_life_are_th__4136f40b34,attribute,Tell me about people and relations in your life. Are there people outside and within of your family who are important to you?,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__to_start_i_would_like_to_begin_with_a_big_question_tel__0bbb7bf0a9,attribute,"To start, I would like to begin with a big question: tell me the story of your life. Start from the beginning–from your childhood, to education, and to any major life events you may have had.",Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__what_is_a_memory_from_childhood_that_shaped_the_way_yo__15687f2622,attribute,What is a memory from childhood that shaped the way you see the world?,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__who_has_had_the_biggest_influence_on_your_personal_jou__c35cf30e31,attribute,Who has had the biggest influence on your personal journey?,Narrative Identity & Life History,personal identity and life narratives,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_narrative_identity_and_life__bio__1bf4ac0327,attribute,Bio,Narrative Identity & Life History,profile narrative text,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_personality_traits__agreeableness__a117243d79,attribute,Agreeableness,Personality Traits,bfi 2 domains,3,2.0732,0.8688,quality tier * source support * candidate support,A,3
attr_personality_traits__conscientiousness__6fd482baec,attribute,Conscientiousness,Personality Traits,bfi 2 domains,3,2.0732,0.8688,quality tier * source support * candidate support,A,3
attr_personality_traits__extraversion__0197399403,attribute,Extraversion,Personality Traits,bfi 2 domains,3,2.0732,0.8688,quality tier * source support * candidate support,A,3
attr_personality_traits__negative_emotionality__4f0fa28cb6,attribute,Negative Emotionality,Personality Traits,bfi 2 domains,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__open_mindedness__aec801b914,attribute,Open-Mindedness,Personality Traits,bfi 2 domains,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__aesthetic_sensitivity__add8e18736,attribute,Aesthetic Sensitivity,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__anxiety__aedc6cc7d4,attribute,Anxiety,Personality Traits,bfi 2 facets,5,2.686,0.9621,quality tier * source support * candidate support,A,5
attr_personality_traits__compassion__af9bcfe02e,attribute,Compassion,Personality Traits,bfi 2 facets,2,1.6846,0.8027,quality tier * source support * candidate support,A,2
attr_personality_traits__creative_imagination__62e6d6eb51,attribute,Creative Imagination,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__depression__c77a4ddb97,attribute,Depression,Personality Traits,bfi 2 facets,4,2.4012,0.9202,quality tier * source support * candidate support,A,4
attr_personality_traits__emotional_volatility__9e3994dd93,attribute,Emotional Volatility,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__energy_level__979418dfd5,attribute,Energy Level,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__intellectual_curiosity__6c9278c173,attribute,Intellectual Curiosity,Personality Traits,bfi 2 facets,2,1.6846,0.8027,quality tier * source support * candidate support,A,2
attr_personality_traits__organization__475a3522db,attribute,Organization,Personality Traits,bfi 2 facets,3,2.0732,0.8688,quality tier * source support * candidate support,A,3
attr_personality_traits__productiveness__563bbe1c52,attribute,Productiveness,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__respectfulness__91dbfb719c,attribute,Respectfulness,Personality Traits,bfi 2 facets,1,1.2011,0.7094,quality tier * source support * candidate support,A,1
attr_personality_traits__responsibility__afc2509c7d,attribute,Responsibility,Personality Traits,bfi 2 facets,2,1.6846,0.8027,quality tier * source support * candidate support,A,2
attr_personality_traits__sociability__4a9a6d71f8,attribute,Sociability,Personality Traits,bfi 2 facets,4,2.4012,0.9202,quality tier * source support * candidate support,A,4
attr_personality_traits__trust__13e83c1f79,attribute,Trust,Personality Traits,bfi 2 facets,2,1.6846,0.8027,quality tier * source support * candidate support,A,2
attr_personality_traits__i_am_careless_i_make_mistakes__740244e31c,attribute,I am careless. I make mistakes,Personality Traits,big five personality traits,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_personality_traits__i_am_compassionate_i_have_a_soft_heart__ccb6307f89,attribute,I am compassionate. I have a soft heart,Personality Traits,big five personality traits,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
attr_personality_traits__i_am_curious_about_different_things__16a144a387,attribute,I am curious about different things,Personality Traits,big five personality traits,1,0.8649,0.5108,quality tier * source support * candidate support,B,1
